,T2M,RH2M,PS,ARI,CAI,CIRE,DWSI,EVI,GCVI,MCARI,SIPI,pH,Temperature (Centigrate),EC (microsiemens per cm),N (mg/Kg),P  (mg/Kg),K  (mg/Kg)
276,21.85,71.88,98.57,1.43225,0.826116667,0.277191667,0.855225,0.181383333,0.732741667,-0.061408333,1.680725,88,23.2,970,165.2923077,11,16
277,21.33,74.31,98.61,1.432,0.825933333,0.277033333,0.8543,0.181066667,0.733433333,-0.061766667,1.6843,88,23.2,970,164.2777778,11,15.95555556
278,20.81,76.44,98.63,1.43175,0.82575,0.276875,0.853375,0.18075,0.734125,-0.062125,1.687875,87,23.2,970,156.0757576,11,15
279,20.33,77.75,98.62,1.4315,0.825566667,0.276716667,0.85245,0.180433333,0.734816667,-0.062483333,1.69145,86.54545455,23.2,970,154.3846154,10.54545455,15
280,19.93,78.25,98.6,1.43125,0.825383333,0.276558333,0.851525,0.180116667,0.735508333,-0.062841667,1.695025,86,23.2,970,151.8222222,10,15
281,19.55,78.5,98.58,1.431,0.8252,0.2764,0.8506,0.1798,0.7362,-0.0632,1.6986,86,23.2,970,148.2105263,10,14.01754386
282,19.18,78.5,98.56,1.43075,0.825016667,0.276241667,0.849675,0.179483333,0.736891667,-0.063558333,1.702175,86,23.2,970,148,10,14
283,18.73,79.06,98.55,1.4305,0.824833333,0.276083333,0.84875,0.179166667,0.737583333,-0.063916667,1.70575,84,23.2,970,143,10,14
284,18.14,80.75,98.54,1.43025,0.82465,0.275925,0.847825,0.17885,0.738275,-0.064275,1.709325,84,23.2,970,142.7022901,10,14
285,17.58,82.5,98.57,1.43,0.824466667,0.275766667,0.8469,0.178533333,0.738966667,-0.064633333,1.7129,83.78082192,23.2,970,141.1643836,9.808219178,13.89041096
286,17.18,83.44,98.61,1.42975,0.824283333,0.275608333,0.845975,0.178216667,0.739658333,-0.064991667,1.716475,82,23.2,970,136,9,13
289,21.17,67.12,98.86,1.429,0.823733333,0.275133333,0.8432,0.177266667,0.741733333,-0.066066667,1.7272,82,23.2,970,134.5538462,9,13
290,24.19,57.31,98.88,1.42875,0.82355,0.274975,0.842275,0.17695,0.742425,-0.066425,1.730775,82,23.2,970.9350649,139.7012987,9.116883117,13.23376623
291,27.19,46.38,98.86,1.4285,0.823366667,0.274816667,0.84135,0.176633333,0.743116667,-0.066783333,1.73435,82,23.2,983,169,12,17
292,29.69,38.44,98.8,1.42825,0.823183333,0.274658333,0.840425,0.176316667,0.743808333,-0.067141667,1.737925,82.1954023,23.2,984.3333333,172.0114943,12.1954023,17.1954023
293,30.6,36.62,98.73,1.428,0.823,0.2745,0.8395,0.176,0.7445,-0.0675,1.7415,85,23.2,991,196.3902439,13.02439024,19
294,22.37,65.94,98.7,1.42625,0.821716667,0.273391667,0.833025,0.173783333,0.749341667,-0.070008333,1.766525,87,23.2,974,162,11,16
295,21.4,68.25,98.74,1.426,0.821533333,0.273233333,0.8321,0.173466667,0.750033333,-0.070366667,1.7701,86.87142857,23.2,973.4857143,161.2428571,11,15.87142857
296,20.47,70.5,98.77,1.42575,0.82135,0.273075,0.831175,0.17315,0.750725,-0.070725,1.773675,84,23.2,970,151.0181818,10,15
297,19.61,72.75,98.79,1.4255,0.821166667,0.272916667,0.83025,0.172833333,0.751416667,-0.071083333,1.77725,83.575,23.2,970,149.2833333,10,14.575
298,18.77,75.5,98.78,1.42525,0.820983333,0.272758333,0.829325,0.172516667,0.752108333,-0.071441667,1.780825,82.61607143,23.2,970,145.4642857,10,14
299,17.99,78.38,98.78,1.425,0.8208,0.2726,0.8284,0.1722,0.7528,-0.0718,1.7844,81.66101695,23.2,970,141.0932203,9.542372881,13.6440678
300,17.37,80.25,98.78,1.42475,0.820616667,0.272441667,0.827475,0.171883333,0.753491667,-0.072158333,1.787975,81,23.2,970,138.3214286,9,13
301,17.05,80,98.78,1.4245,0.820433333,0.272283333,0.82655,0.171566667,0.754183333,-0.072516667,1.79155,80,23.2,970,133.7884615,9,13
302,17.05,77.69,98.8,1.42425,0.82025,0.272125,0.825625,0.17125,0.754875,-0.072875,1.795125,80,23.2,970,132.2424242,9,12.93939394
303,17.23,74.62,98.83,1.424,0.820066667,0.271966667,0.8247,0.170933333,0.755566667,-0.073233333,1.7987,79.515625,23.2,970,128.5859375,9,12.515625
304,17.58,71.12,98.88,1.42375,0.819883333,0.271808333,0.823775,0.170616667,0.756258333,-0.073591667,1.802275,79,23.2,970,126.4626866,8.776119403,12
305,17.79,69.56,98.93,1.4235,0.8197,0.27165,0.82285,0.1703,0.75695,-0.07395,1.80585,79,23.2,970,122.8363636,8,12
306,19.62,69,98.98,1.42325,0.819516667,0.271491667,0.821925,0.169983333,0.757641667,-0.074308333,1.809425,78.53658537,23.2,970,122.1707317,8,12
307,21.74,58.94,99.02,1.423,0.819333333,0.271333333,0.821,0.169666667,0.758333333,-0.074666667,1.813,78,23.2,972.3571429,126.8928571,8.589285714,12.52678571
308,25.18,45.88,99.05,1.42275,0.81915,0.271175,0.820075,0.16935,0.759025,-0.075025,1.816575,78.37795276,23.2,977.4015748,137.4251969,9.377952756,13.38582677
309,28.05,33.69,99.03,1.4225,0.818966667,0.271016667,0.81915,0.169033333,0.759716667,-0.075383333,1.82015,79,23.2,983.6382979,150.712766,10.15957447,14.31914894
310,29.12,31.06,98.98,1.42225,0.818783333,0.270858333,0.818225,0.168716667,0.760408333,-0.075741667,1.823725,79,23.2,996,183.4626866,12.92537313,18
311,29.74,29.62,98.9,1.422,0.8186,0.2707,0.8173,0.1684,0.7611,-0.0761,1.8273,79.79136691,23.2,997.7553957,187.8705036,13,18.43884892
312,29.89,28.81,98.82,1.42175,0.818416667,0.270541667,0.816375,0.168083333,0.761791667,-0.076458333,1.830875,81.87943262,23.2,1003.078014,196.5177305,13.43971631,19.43971631
313,29.63,28.12,98.75,1.4215,0.818233333,0.270383333,0.81545,0.167766667,0.762483333,-0.076816667,1.83445,84.23529412,23.2,1007,201.0661765,14,20
314,28.93,29.56,98.71,1.42125,0.81805,0.270225,0.814525,0.16745,0.763175,-0.077175,1.838025,86.41176471,23.2,1007,199.1617647,14,19.58823529
315,26.55,42.88,98.69,1.421,0.817866667,0.270066667,0.8136,0.167133333,0.763866667,-0.077533333,1.8416,87.768,23.2,1005.464,193.312,13.616,18.944
316,22.87,55.31,98.71,1.42075,0.817683333,0.269908333,0.812675,0.166816667,0.764558333,-0.077891667,1.845175,89,23.2,1003,189,13,19
317,21.21,56.75,98.76,1.4205,0.8175,0.26975,0.81175,0.1665,0.76525,-0.07825,1.84875,90,23.2,990,166.7647059,11.29411765,16
318,20.05,59.62,98.8,1.42025,0.817316667,0.269591667,0.810825,0.166183333,0.765941667,-0.078608333,1.852325,86,23.2,990,157,11,15
319,19.08,62.38,98.82,1.42,0.817133333,0.269433333,0.8099,0.165866667,0.766633333,-0.078966667,1.8559,85.10743802,23.2,990,153.8760331,10.55371901,15
